name,address,"type {dadawadi, tirth}",state_name,
Ajmer Dadawadi,"Vinay Nagar , Ajmer",Dadawadi,Rajasthan,
Mehrauli Dadawadi,"Mahendra Kumar Bhansali Marg, Opp. Qutub Minar Metro Station Mehrauli New Delhi",Dadawadi,Delhi,
Malpura Dadabadi,"Malpura , Tonk District",Dadawadi,Rajasthan,
Bilada Dadabadi,"Bilara , Jodhpur District",Dadawadi,Rajasthan,
Brahmasar Dadawadi,"Brahmasar , Jaisalmer",Dadawadi,Rajasthan,
Udairamsar Dadabadi,Udairamsar,Dadawadi,Rajasthan,
Nal Dadabadi,"Nal Badi Village , Bikaner",Dadawadi,Rajasthan,
Karwan Dadabadi,"Karwan , Hyderabad/Secunderabad",Dadawadi,Telangana,not found
Maniktalla Dadabadi,"Maniktalla, 36, Badridas Temple Street Kolkata",Dadawadi,West Bengal,
Raipur Dadabadi,"M G Road , Chhatisgarh Raipur",Dadawadi,Chhattisgarh,
Dhamtari Dadabadi,"Dhamtari , Raipur",Dadawadi,Chhattisgarh,
Durg Dadabadi,Durg,Dadawadi,Chhattisgarh,
Rajnandgaon Dadabadi,Rajnandgaon,Dadawadi,Chhattisgarh,
Indore Dadawadi,"Scheme No 71 , Indore",Dadawadi,Madhya Pradesh,
Sagartal Dadabadi,"Sagar Tal Road, Vinay Nagar Gwalior",Dadawadi,Madhya Pradesh,
Jagdalpur Dadabadi,"Dadabadi Road, Dalpat Sagar Ward, Motitalab Para, Jagdalpur",Dadawadi,Chhattisgarh,
Nakoda Dadabadi,Nakoda,Dadawadi,Rajasthan,
Kewaldham Dadabadi,"Kewal Dham Ext., Durgakund Varanasi",Dadawadi,Madhya Pradesh,
Shitalbadi Dadabadi,,Dadawadi,Gujarat,
Dholka Dadabadi,"Dholka Bypass Road,, Kalikund Dholka",Dadawadi,Gujarat,
Anand Sagar Dadabadi,Jalna,Dadawadi,Maharashtra,
Jaisalmer Dadabadi,"Barmer Road(Nh-15), Suthar Para Jaisalmer",Dadawadi,Rajasthan,
Navrangpura Dadabadi,"University Area , Ahmedabad",Dadawadi,Gujarat,
Bhilwada Dadabadi,Bhilwara,Dadawadi,Rajasthan,
Chittorgarh Dadabari,,Dadawadi,Rajasthan,
Secunderabad Dadabari,"National Highway 9, Mudfort, Bowenpally Secunderabad",Dadawadi,Telangana,
Chennai Dadabari,"370, Konnur High Road, Aynavaram Chennai",Dadawadi,Tamilnadu,
Byculla Dadabari,"16, Shubh Sandesh Building, Ground Floor, Byculla, Mumbai",Dadawadi,Maharashtra,
Patna Dadabari,"Begampur , Patna",Dadawadi,Bihar,
