date{m/d/Y},weekday,lunar_year,lunar_month,lunar_tithi,"shubh_din { Yes, No}",lunar_cycle,description
12 Nov 15,Thursday,2072,Karthik,1,,Shukla,Nutan Varsh Prarambh
13 Nov 15,Friday,2072,Karthik,2,Yes,Shukla,
14 Nov 15,Saturday,2072,Karthik,3,,Shukla,Shri Suvidhinath - Kevalgyan Kalyanak
15 Nov 15,Sunday,2072,Karthik,4,Yes,Shukla,
16 Nov 15,Monday,2072,Karthik,5,Yes,Shukla,Gyan Panchami
17 Nov 15,Tuesday,2072,Karthik,6,,Shukla,
18 Nov 15,Wednesday,2072,Karthik,7,Yes,Shukla,
19 Nov 15,Thursday,2072,Karthik,8,,Shukla,
20 Nov 15,Friday,2072,Karthik,9,,Shukla,
21 Nov 15,Saturday,2072,Karthik,10,,Shukla,
22 Nov 15,Sunday,2072,Karthik,11,,Shukla,
23 Nov 15,Monday,2072,Karthik,12,Yes,Shukla,Shri Arnath - Kevalgyan Kalyanak
24 Nov 15,Tuesday,2072,Karthik,13,Yes,Shukla,
25 Nov 15,Wednesday,2072,Karthik,14,,Shukla,Choumasi Pratikraman
,,,Karthik,15,,Shukla,
26 Nov 15,Thursday,2072,Margshirsh,1,,Krushna,
27 Nov 15,Friday,2072,Margshirsh,2,Yes,Krushna,
28 Nov 15,Saturday,2072,Margshirsh,3,,Krushna,Dada Jinkushalsuri - Janmtithi
29 Nov 15,Sunday,2072,Margshirsh,4,Yes,Krushna,
30 Nov 15,Monday,2072,Margshirsh,5,Yes,Krushna,Shri Suvidhinath - Janm Kalyanak
1 Dec 15,Tuesday,2072,Margshirsh,6,,Krushna,Shri Suvidhinath - Diksha Kalyanak
2 Dec 15,Wednesday,2072,Margshirsh,7,Yes,Krushna,Acharya Jinkantisagarsuri Punyatithi
3 Dec 15,Thursday,2072,Margshirsh,8,,Krushna,
4 Dec 15,Friday,2072,Margshirsh,9,,Krushna,
5 Dec 15,Saturday,2072,Margshirsh,10,,Krushna,Shri Mahaveerswami - Diksha Kalyanak
6 Dec 15,Sunday,2072,Margshirsh,10,Yes,Krushna,
7 Dec 15,Monday,2072,Margshirsh,11,Yes,Krushna,Shri Padmaprabhswami - Moksh Kalyanak
8 Dec 15,Tuesday,2072,Margshirsh,12,,Krushna,
9 Dec 15,Wednesday,2072,Margshirsh,13,,Krushna,
10 Dec 15,Thursday,2072,Margshirsh,14,,Krushna,Pakshik Pratikraman
11 Dec 15,Friday,2072,Margshirsh,30,,Krushna,
12 Dec 15,Saturday,2072,Margshirsh,1,,Shukla,
13 Dec 15,Sunday,2072,Margshirsh,2,,Shukla,
14 Dec 15,Monday,2072,Margshirsh,3,Yes,Shukla,
15 Dec 15,Tuesday,2072,Margshirsh,4,,Shukla,
16 Dec 15,Wednesday,2072,Margshirsh,5,,Shukla,
17 Dec 15,Thursday,2072,Margshirsh,6,,Shukla,
18 Dec 15,Friday,2072,Margshirsh,7,,Shukla,
19 Dec 15,Saturday,2072,Margshirsh,8,,Shukla,
,,,Margshirsh,9,,Shukla,
20 Dec 15,Sunday,2072,Margshirsh,10,,Shukla,Shri Arnath - Janm Kalyanak; Shri Arnath - Moksh Kalyanak
21 Dec 15,Monday,2072,Margshirsh,11,Yes,Shukla,Moun Ekadasi; Shri Arnath - Diksha Kalyanak; Shri Mallinath - Janm Kalyanak; Shri Mallinath - Diksha Kalyanak; Shri Mallinath - Kevalgyan Kalyanak; Shri Naminath - Kevalgyan Kalyanak
22 Dec 15,Tuesday,2072,Margshirsh,12,,Shukla,
23 Dec 15,Wednesday,2072,Margshirsh,13,,Shukla,
24 Dec 15,Thursday,2072,Margshirsh,14,,Shukla,Pakshik Pratikraman; Shri Sambhavnath - Janm Kalyanak
25 Dec 15,Friday,2072,Margshirsh,15,Yes,Shukla,Shri Sambhavnath - Diksha Kalyanak
26 Dec 15,Saturday,2072,Posh,1,,Krushna,
27 Dec 15,Sunday,2072,Posh,2,Yes,Krushna,
28 Dec 15,Monday,2072,Posh,3,Yes,Krushna,
29 Dec 15,Tuesday,2072,Posh,4,,Krushna,
30 Dec 15,Wednesday,2072,Posh,5,Yes,Krushna,
31 Dec 15,Thursday,2072,Posh,6,,Krushna,
1 Jan 16,Friday,2072,Posh,7,Yes,Krushna,
2 Jan 16,Saturday,2072,Posh,8,,Krushna,
3 Jan 16,Sunday,2072,Posh,9,Yes,Krushna,
4 Jan 16,Monday,2072,Posh,10,Yes,Krushna,Posh Dasami - Shri Parshvanath - Janm Kalyanak
5 Jan 16,Tuesday,2072,Posh,11,,Krushna,Shri Parshvanath - Diksha Kalyanak
6 Jan 16,Wednesday,2072,Posh,12,Yes,Krushna,Shri Chandraprabhswami - Janm Kalyanak
7 Jan 16,Thursday,2072,Posh,12,,Krushna,
8 Jan 16,Friday,2072,Posh,13,,Krushna,Shri Chandraprabhswami - Diksha Kalyanak
9 Jan 16,Saturday,2072,Posh,14,,Krushna,Pakshik Pratikraman; Shri Shitalnath - Kevalgyan Kalyanak
,,,Posh,30,,Krushna,
10 Jan 16,Sunday,2072,Posh,1,,Shukla,
